theta,Cd,Cip
0.005922122,-0.004427652,3.252459783
0.001549424,0.01827058,3.248780576
-0.002824068,0.032590476,3.21036819
-0.007197361,0.051865815,3.19494748
-0.011569461,0.072494632,3.177526977
-0.015939376,0.087432065,3.148933997
-0.020306111,0.106919644,3.127731172
-0.024668671,0.120861312,3.091781981
-0.029026062,0.142665509,3.073597667
-0.033377289,0.154056955,3.032559173
-0.037721358,0.170009638,3.002584655
-0.042057275,0.185750199,2.968881431
-0.046384049,0.200092335,2.937792635
-0.050700689,0.215453282,2.898335691
-0.055006203,0.225546329,2.848435969
-0.059299603,0.244338612,2.820475682
-0.063579904,0.251183615,2.770712089
-0.06784612,0.266166444,2.731936173
-0.07209727,0.276575193,2.684851653
-0.076332372,0.284624597,2.629764352
-0.080550451,0.303822523,2.600083268
-0.084750532,0.307173486,2.544029755
-0.088931644,0.313735473,2.485241188
-0.093092819,0.332535922,2.451620347
-0.097233094,0.324878921,2.377856286
-0.101351509,0.344336832,2.346888577
-0.105447108,0.348424435,2.291241766
-0.109518938,0.348896927,2.225819102
-0.113566054,0.364527422,2.188128432
-0.117587512,0.35279893,2.113792857
-0.121582376,0.366941332,2.0702481
-0.125549714,0.373328146,2.018713225
-0.129488598,0.36397738,1.947837025
-0.133398109,0.37805795,1.909287341
-0.13727733,0.372658453,1.844195439
-0.141125353,0.370612929,1.779565646
-0.144941276,0.373994959,1.728038741
-0.148724201,0.370281933,1.673953649
-0.152473241,0.366242046,1.613251062
-0.156187513,0.370611158,1.560236807
-0.159866142,0.363697715,1.497731071
-0.16350826,0.359169657,1.442025067
-0.167113006,0.356358909,1.391409475
-0.17067953,0.349955835,1.331271517
-0.174206986,0.343834477,1.272694192
-0.17769454,0.341642087,1.223871358
-0.181141362,0.33464543,1.17011373
-0.184546636,0.321054232,1.110605616
-0.18790955,0.318827115,1.058291294
-0.191229304,0.3111599,1.007067785
