time,forcex,moment,Cd,theta,omega,Cip,real_moment
0.984,-0.582093821,-0.228845681,-1.166286959,-0.254680598,0.304789275,0.855974693,-0.14016798
0.988,-0.589630809,-0.234075131,-1.181388116,-0.253410047,0.330465167,0.949291269,-0.143371017
0.992,-0.597463407,-0.239126624,-1.19708156,-0.252037055,0.35600747,1.044733608,-0.146465057
0.996,-0.604849069,-0.244390692,-1.21187952,-0.250562179,0.381405858,1.143906543,-0.149689299
1,-0.611524736,-0.24968416,-1.22525493,-0.248986014,0.406650065,1.246035344,-0.152931548
1.004,-0.619118914,-0.255130262,-1.240470676,-0.247309197,0.431729885,1.351738276,-0.156267286
1.008,-0.624402666,-0.260133734,-1.251057234,-0.245532407,0.456635181,1.457755088,-0.159331912
1.012,-0.629106894,-0.264968553,-1.260482657,-0.243656362,0.481355884,1.56523353,-0.162293239
1.016,-0.634780598,-0.270052719,-1.271850528,-0.24168182,0.505882001,1.676549212,-0.165407291
1.02,-0.639329818,-0.275414814,-1.280965374,-0.239609579,0.530203617,1.792043331,-0.168691574
1.024,-0.643427177,-0.28036447,-1.289174869,-0.237440477,0.554310902,1.907194204,-0.171723238
1.028,-0.646654019,-0.285607861,-1.29564019,-0.23517539,0.578194108,2.026573417,-0.174934815
1.032,-0.648881347,-0.290186244,-1.30010288,-0.232815235,0.601843583,2.143280333,-0.177739075
1.036,-0.652308583,-0.295250192,-1.306969711,-0.230360966,0.625249764,2.265490513,-0.180840742
1.04,-0.653949715,-0.300150591,-1.310257895,-0.227813574,0.648403192,2.388376942,-0.183842237
1.044,-0.653581413,-0.304177998,-1.309519961,-0.22517409,0.671294505,2.505875051,-0.186309024
1.048,-0.654922299,-0.309182488,-1.312206569,-0.22244358,0.693914451,2.63293018,-0.189374274
1.052,-0.654757058,-0.314125122,-1.311875492,-0.219623148,0.716253885,2.761138457,-0.192401638
1.056,-0.654760202,-0.318629521,-1.311881792,-0.216713935,0.738303777,2.886952409,-0.195160582
1.06,-0.651235541,-0.322002022,-1.304819757,-0.213717116,0.760055213,3.003462848,-0.197226239
1.064,-0.650841758,-0.3275874,-1.304030771,-0.210633903,0.7814994,3.141769806,-0.200647283
1.068,-0.648573177,-0.331684548,-1.299485429,-0.207465542,0.802627669,3.267065871,-0.203156786
1.072,-0.644373909,-0.335659264,-1.291071746,-0.204213314,0.82343148,3.391912396,-0.205591299
1.076,-0.639418369,-0.339708519,-1.281142796,-0.200878534,0.843902423,3.518173026,-0.208071468
1.08,-0.635339536,-0.344165025,-1.272970419,-0.19746255,0.864032222,3.649347298,-0.210801078
1.084,-0.63087741,-0.347416175,-1.264030074,-0.193966742,0.88381274,3.768155491,-0.212792407
1.088,-0.624116843,-0.351751077,-1.250484558,-0.190392524,0.903235981,3.899017538,-0.215447535
